,학정번호,강의명/교수명,별점,final_성적,final_교수,final_로드,final_강의력,족보여부,강의자료질
141,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,0.3,0.3,0.15,0.15,0.0,0.5
142,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
143,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.85,0.0,0.5
144,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,0.3,1.0,0.5,0.5,0.0,0.5
145,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
146,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
147,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
148,YCC1102-02-00,대학영어Ⅱ/오진숙,4.0,1.0,1.0,0.85,0.85,0.0,0.5
149,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
150,YCC1102-02-00,대학영어Ⅱ/오진숙,4.0,1.0,1.0,0.85,0.5,0.0,0.5
151,YCC1102-02-00,대학영어Ⅱ/오진숙,3.0,1.0,1.0,0.85,0.85,0.0,0.5
152,YCC1102-02-00,대학영어Ⅱ/오진숙,3.0,1.0,1.0,0.85,0.85,0.0,0.5
153,YCC1102-02-00,대학영어Ⅱ/오진숙,3.0,1.0,1.0,0.85,0.5,0.0,0.5
154,YCC1102-02-00,대학영어Ⅱ/오진숙,3.0,1.0,0.3,0.5,0.15,0.0,0.5
155,YCC1102-02-00,대학영어Ⅱ/오진숙,4.0,1.0,1.0,0.5,0.5,0.0,0.5
156,YCC1102-02-00,대학영어Ⅱ/오진숙,4.0,1.0,1.0,0.5,0.5,0.0,0.5
157,YCC1102-02-00,대학영어Ⅱ/오진숙,3.0,1.0,1.0,0.85,0.85,0.0,0.5
158,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
159,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
160,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
161,YCC1102-02-00,대학영어Ⅱ/오진숙,2.0,1.0,1.0,0.5,0.5,0.0,0.5
162,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
163,YCC1102-02-00,대학영어Ⅱ/오진숙,3.0,1.0,1.0,0.5,0.5,0.0,0.5
164,YCC1102-02-00,대학영어Ⅱ/오진숙,4.0,1.0,1.0,0.85,0.85,0.0,0.5
165,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
166,YCC1102-02-00,대학영어Ⅱ/오진숙,4.0,1.0,1.0,0.5,0.5,0.0,0.5
167,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.85,0.5,0.0,0.5
168,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.85,0.0,0.5
169,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
170,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,1.0,1.0,0.5,0.5,0.0,0.5
171,YCC1102-02-00,대학영어Ⅱ/오진숙,5.0,0.3,1.0,0.5,0.5,0.0,0.5
